video_id,comments_disabled,ratings_disabled,video_error_or_removed,likes_log,label,dislikes_log,comment_log,num_tags,desc_len,len_title,country_CA,country_FR,country_IN,country_US,category_Autos & Vehicles,category_Comedy,category_Education,category_Entertainment,category_Film & Animation,category_Gaming,category_Howto & Style,category_Movies,category_Music,category_News & Politics,category_Nonprofits & Activism,category_People & Blogs,category_Pets & Animals,category_Science & Technology,category_Shows,category_Sports,category_Trailers,category_Travel & Events,publish_weekday_1,publish_weekday_2,publish_weekday_3,publish_weekday_4,publish_weekday_5,publish_weekday_6,publish_weekday_7
xjFKfAudCOo,False,False,False,9.425290448261864,13.453846043941017,6.1092475827643655,5.955837369464831,19,1016,86,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Mwn4zdD51Kc,False,False,False,6.498282149476434,11.22376229623665,4.276666119016055,2.70805020110221,17,103,100,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
U3xLOo-CNwo,False,False,False,10.255938588321635,14.963936296590097,7.734558844354756,8.105609402299896,20,2481,62,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
AHWTbKVpukU,False,False,False,7.172424577124845,11.999282151128734,5.43372200355424,6.013715156042802,32,794,81,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
gWZwfjfgwGs,False,False,False,9.501889955954454,13.206893846151152,6.084499413075172,6.016157159698354,17,1678,89,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Ny_-eMpu95Q,False,False,False,6.306275286948016,10.865000185131196,3.258096538021482,4.0943445622221,6,287,55,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
KskjXRkmJW4,False,False,False,4.653960350157523,11.4167118772158,4.454347296253507,3.044522437723423,15,381,87,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7BUEKSFwk7Q,True,True,False,0.0,10.048237036422323,0.0,0.0,0,348,73,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
EU-y4Y7khJU,False,False,False,7.81923445385907,12.785547081601544,5.393627546352362,5.7899601708972535,23,1024,74,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
pw3iSkTRJWw,False,False,False,6.1463292576688975,11.670125775656922,4.912654885736052,3.218875824868201,20,595,43,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
